Country_Code,Year,Crime_Count,Crime_Type
MLT,2010,4.0,Homicide
MLT,2011,3.0,Homicide
MLT,2012,12.0,Homicide
MLT,2013,7.0,Homicide
MLT,2014,6.0,Homicide
MLT,2015,4.0,Homicide
MLT,2016,5.0,Homicide
MLT,2017,9.0,Homicide
MLT,2018,8.0,Homicide
MLT,2019,5.0,Homicide
MLT,2020,7.0,Homicide
MLT,2021,2.0,Homicide
MLT,2022,8.0,Homicide
MLT,2023,3.0,Homicide
MHL,1991,5.0,Homicide
MHL,1992,2.0,Homicide
MHL,1994,2.0,Homicide
MRT,2018,53.0,Homicide
MRT,2019,48.0,Homicide
MRT,2020,46.0,Homicide
MUS,1990,20.0,Homicide
MUS,1991,29.0,Homicide
MUS,1992,31.0,Homicide
MUS,1993,21.0,Homicide
MUS,1994,27.0,Homicide
MUS,1995,25.0,Homicide
MUS,1996,34.0,Homicide
MUS,1997,24.0,Homicide
MUS,1998,31.0,Homicide
MUS,1999,23.0,Homicide
MUS,2000,26.0,Homicide
MUS,2009,38.0,Homicide
MUS,2010,33.0,Homicide
MUS,2011,32.0,Homicide
MUS,2012,28.0,Homicide
MUS,2013,35.0,Homicide
MUS,2014,19.0,Homicide
MUS,2015,21.0,Homicide
MUS,2016,21.0,Homicide
MUS,2017,33.0,Homicide
MUS,2018,37.0,Homicide
MUS,2019,27.0,Homicide
MUS,2020,35.0,Homicide
MUS,2021,34.0,Homicide
MUS,2022,29.0,Homicide
MEX,1990,14493.0,Homicide
MEX,1991,15128.0,Homicide
MEX,1992,16594.0,Homicide
MEX,1993,16040.0,Homicide
MEX,1994,15839.0,Homicide
MEX,1995,15612.0,Homicide
MEX,1996,14505.0,Homicide
MEX,1997,13552.0,Homicide
MEX,1998,13656.0,Homicide
MEX,1999,12249.0,Homicide
MEX,2000,10737.0,Homicide
MEX,2001,10285.0,Homicide
MEX,2002,10088.0,Homicide
MEX,2003,10087.0,Homicide
MEX,2004,9329.0,Homicide
MEX,2005,9921.0,Homicide
MEX,2006,10452.0,Homicide
MEX,2007,8867.0,Homicide
MEX,2008,14006.0,Homicide
MEX,2009,19803.0,Homicide
MEX,2010,25757.0,Homicide
MEX,2011,27213.0,Homicide
MEX,2012,25967.0,Homicide
MEX,2013,23063.0,Homicide
MEX,2014,20010.0,Homicide
MEX,2015,20762.0,Homicide
MEX,2016,24559.0,Homicide
MEX,2017,32079.0,Homicide
MEX,2018,36685.0,Homicide
MEX,2019,36661.0,Homicide
MEX,2020,36773.0,Homicide
MEX,2021,35700.0,Homicide
MEX,2022,33287.0,Homicide
MEX,2023,32252.0,Homicide
FSM,2019,1.0,Homicide
MDA,1990,290.0,Homicide
MDA,1991,290.0,Homicide
MDA,1992,499.0,Homicide
MDA,1993,387.0,Homicide
MDA,1994,401.0,Homicide
MDA,1995,402.0,Homicide
MDA,1996,400.0,Homicide
MDA,1997,414.0,Homicide
MDA,1998,375.0,Homicide
MDA,1999,391.0,Homicide
MDA,2000,433.0,Homicide
MDA,2001,411.0,Homicide
MDA,2002,401.0,Homicide
MDA,2003,319.0,Homicide
MDA,2004,277.0,Homicide
MDA,2005,296.0,Homicide
MDA,2006,262.0,Homicide
MDA,2007,217.0,Homicide
MDA,2008,236.0,Homicide
MDA,2009,246.0,Homicide
MDA,2010,265.0,Homicide
MDA,2011,216.0,Homicide
MDA,2012,229.0,Homicide
MDA,2013,229.0,Homicide
MDA,2014,161.0,Homicide
MDA,2015,189.0,Homicide
MDA,2016,200.0,Homicide
MDA,2017,141.0,Homicide
MDA,2018,166.0,Homicide
MDA,2019,121.0,Homicide
MDA,2020,93.0,Homicide
MDA,2021,66.0,Homicide
MDA,2022,75.0,Homicide
MDA,2023,78.0,Homicide
MNG,2003,343.0,Homicide
MNG,2004,333.0,Homicide
MNG,2005,398.0,Homicide
MNG,2006,336.0,Homicide
MNG,2007,295.0,Homicide
MNG,2008,212.0,Homicide
MNG,2009,219.0,Homicide
MNG,2010,239.0,Homicide
MNG,2011,266.0,Homicide
MNG,2012,199.0,Homicide
MNG,2013,208.0,Homicide
MNG,2014,213.0,Homicide
MNG,2015,214.0,Homicide
MNG,2016,184.0,Homicide
MNG,2017,191.0,Homicide
MNG,2018,196.0,Homicide
MNG,2019,205.0,Homicide
MNG,2020,205.0,Homicide
MNG,2021,206.0,Homicide
MNG,2022,202.0,Homicide
MNG,2023,203.0,Homicide
MNG,2024,196.0,Homicide
MNE,2002,27.0,Homicide
MNE,2007,12.0,Homicide
MNE,2008,24.0,Homicide
MNE,2009,21.0,Homicide
MNE,2010,15.0,Homicide
MNE,2011,21.0,Homicide
MNE,2012,17.0,Homicide
MNE,2013,10.0,Homicide
MNE,2014,20.0,Homicide
MNE,2015,17.0,Homicide
MNE,2016,28.0,Homicide
MNE,2017,15.0,Homicide
MNE,2018,14.0,Homicide
MNE,2019,23.0,Homicide
MNE,2020,18.0,Homicide
MNE,2021,15.0,Homicide
MNE,2022,16.0,Homicide
MNE,2023,5.0,Homicide
MAR,1990,89.0,Homicide
MAR,1991,124.0,Homicide
MAR,1992,132.0,Homicide
MAR,1993,148.0,Homicide
MAR,1994,184.0,Homicide
MAR,1997,732.0,Homicide
MAR,1998,556.0,Homicide
MAR,1999,540.0,Homicide
